"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_E [V_per_meter]"
2.4,90,0,0.0845053164594236
2.4,90,2.40004,0.180057144877195
2.4,90,4.80008,0.274008790739236
2.4,90,7.20012,0.364488208377919
2.4,90,9.60016,0.448520661325538
2.4,90,12.0002,0.526479130804905
2.4,90,14.40024,0.598193297159834
2.4,90,16.80028,0.66241893524292
2.4,90,19.20032,0.719639933687559
2.4,90,21.60036,0.766178550847508
2.4,90,24.0004,0.786905441719641
2.4,90,26.40044,0.793493591949904
2.4,90,28.80048,0.791716954203496
2.4,90,31.20052,0.7815766905988
2.4,90,33.60056,0.763073753100187
2.4,90,36.0006,0.73620888351802
2.4,90,38.40064,0.700982613508649
2.4,90,40.80068,0.657395264574416
2.4,90,43.20072,0.605446948063647
2.4,90,45.60076,0.545137565170664
2.4,90,48.0008,0.476466806935774
2.4,90,50.40084,0.388765292788024
2.4,90,52.80088,0.289164200445283
2.4,90,55.20092,0.175889408629192
2.4,90,57.60096,0.060533994811226
2.4,90,60.001,0.065495390287791
2.4,90,62.40104,0.199625006109748
2.4,90,64.80108,0.294820182503944
2.4,90,67.20112,0.368112477133887
2.4,90,69.60116,0.419499351639231
2.4,90,72.0012,0.448979771336846
2.4,90,74.40124,0.456554205220809
2.4,90,76.80128,0.442224625962411
2.4,90,79.20132,0.405994509910155
2.4,90,81.60136,0.31665814089474
2.4,90,84.0014,0.164316110914409
2.4,90,86.40144,0.0588215190642452
2.4,90,88.80148,0.0639953121485701
2.4,90,91.20152,0.175057750625636
2.4,90,93.60156,0.318628408607624
2.4,90,96.0016,0.384158790169352
2.4,90,98.40164,0.439661337649332
2.4,90,100.80168,0.463905369633063
2.4,90,103.20172,0.443436690701506
2.4,90,105.60176,0.396588679508553
2.4,90,108.0018,0.323372480135491
2.4,90,110.40184,0.171915745464938
2.4,90,112.80188,0.00291134773029802
2.4,90,115.20192,0.020196636872831
2.4,90,117.60196,0.126804650540594
2.4,90,120.002,0.255601841728103
2.4,90,122.40204,0.369288078776335
2.4,90,124.80208,0.460411325385162
2.4,90,127.20212,0.55140661425087
2.4,90,129.60216,0.666153255203895
2.4,90,132.0022,0.747162844282575
2.4,90,134.40224,0.816161615542583
2.4,90,136.80228,0.872631170876941
2.4,90,139.20232,0.917753879069448
2.4,90,141.60236,0.951530384388707
2.4,90,144.0024,0.973962647418156
2.4,90,146.40244,0.984357885522383
2.4,90,148.80248,0.970371056548532
2.4,90,151.20252,0.941061815783961
2.4,90,153.60256,0.90252663314076
2.4,90,156.0026,0.854767031087283
2.4,90,158.40264,0.797897134994058
2.4,90,160.80268,0.731486300265187
2.4,90,163.20272,0.653050148577007
2.4,90,165.60276,0.605123021065778
2.4,90,168.0028,0.464543730101232
2.4,90,170.40284,0.297359904459895
2.4,90,172.80288,0.151961181350477
2.4,90,175.20292,0.0653565712425317
2.4,90,177.60296,0.0525803379237657
2.4,90,180.003,0.113493113688563
2.4,90,182.40304,0.232781899337991
2.4,90,184.80308,0.379960064179793
2.4,90,187.20312,0.509367346028392
2.4,90,189.60316,0.569721491131791
2.4,90,192.0032,0.662565627963049
2.4,90,194.40324,0.744379994347328
2.4,90,196.80328,0.815161716474693
2.4,90,199.20332,0.874059145151327
2.4,90,201.60336,0.921234909203326
2.4,90,204.0034,0.955320300531961
2.4,90,206.40344,0.97868405002134
2.4,90,208.80348,0.981655915304926
2.4,90,211.20352,0.971195941330909
2.4,90,213.60356,0.944778386814164
2.4,90,216.0036,0.906412510769045
2.4,90,218.40364,0.856441040419161
2.4,90,220.80368,0.794180007834414
2.4,90,223.20372,0.71968470375622
2.4,90,225.60376,0.636242586247678
2.4,90,228.0038,nan
2.4,90,230.40384,nan
2.4,90,232.80388,nan
2.4,90,235.20392,nan
2.4,90,237.60396,nan
2.4,90,240.004,nan
